question	answer	tags
When should you use Batch Normalization?	Use in deep networks (5+ layers) to stabilize training and enable higher learning rates. Not ideal for small batch sizes (noisy statistics), sequential models (varying lengths), or when training/inference distribution consistency matters (use LayerNorm).	alignment microbatchnorm
How does Batch Norm differ at training vs inference?	During training: normalize using mini-batch statistics. During inference: use running exponential moving averages of mean and variance accumulated during training. This ensures deterministic inference independent of batch composition.	alignment microbatchnorm
Why can Batch Norm enable higher learning rates?	By normalizing activations, BN prevents the compounding effect where small weight changes in early layers cause large activation shifts in later layers. This decouples layer updates, allowing larger steps without divergence.	alignment microbatchnorm
What is Dropout?	A regularization technique that randomly zeros activations with probability p during training, then scales by 1/(1-p). This forces the network to distribute knowledge across neurons rather than memorizing with a few, improving generalization.	alignment microdropout
Why does dropout work as regularization?	Each training step uses a random subnetwork, so no single neuron can memorize patterns alone. This is approximately equivalent to training an ensemble of 2^n subnetworks and averaging their predictions at test time.	alignment microdropout
When should you use dropout?	Use when the model has excess capacity relative to training data (overfitting risk). Common in fully-connected layers (p=0.5) and after attention (p=0.1). Not needed with sufficient data or strong data augmentation.	alignment microdropout
How does dropout relate to weight decay?	Both are regularization techniques. Dropout prevents co-adaptation of neurons (distributed representations). Weight decay penalizes large weights (L2: loss += lambda * sum(w^2)), preferring simpler models. They are complementary and often used together.	alignment microdropout
What is the inverted dropout scaling rule?	During training, surviving activations are multiplied by 1/(1-p) to maintain the expected activation magnitude. This means no rescaling is needed at test time (when all neurons are active), simplifying inference.	alignment microdropout
What is REINFORCE?	The simplest policy gradient algorithm. It updates policy parameters by: theta += lr * sum(log(pi(a|s)) * R). Actions that led to high reward get their log-probabilities increased. The gradient estimator is unbiased but high-variance.	alignment microreinforce
What is the REINFORCE gradient estimator?	nabla J = E[sum_t(nabla log pi(a_t|s_t) * R_t)]. The log-probability of each action is weighted by the total reward. This is derived from the policy gradient theorem and requires no model of the environment (model-free).	alignment microreinforce
Why is variance reduction critical for REINFORCE?	Raw REINFORCE has high variance because all actions are weighted by total episode reward. Subtracting a baseline b (e.g., running average reward): nabla J = E[log pi(a|s) * (R - b)] preserves unbiasedness while dramatically reducing variance.	alignment microreinforce
When should you use REINFORCE vs PPO?	REINFORCE is the simplest policy gradient — good for learning and small problems. PPO adds clipping and value functions for stability at scale. Use REINFORCE when simplicity matters or as a building block; use PPO for production RL.	alignment microreinforce
How does REINFORCE connect to modern RLHF methods?	REINFORCE is the foundation: PPO adds clipping and value baselines, GRPO replaces the value baseline with group normalization, and DPO reformulates the entire RL problem as supervised learning. All share the core log-probability-times-reward gradient.	alignment microreinforce
