question	answer	tags
When should you use a VAE?	Use when you need a structured latent space for interpolation, manipulation, or understanding data structure. VAEs produce smoother but blurrier samples than GANs. Good for representation learning and data compression.	foundations microvae
Why does the KL term in VAE loss matter?	Without KL regularization, the encoder could map each input to a distinct point in latent space (like an autoencoder), producing a fragmented space where interpolation is meaningless. KL forces the latent space to be smooth and continuous.	foundations microvae
What is a Generative Adversarial Network (GAN)?	Two networks trained adversarially: a generator creates fake samples to fool a discriminator, while the discriminator learns to distinguish real from fake. Training is a minimax game: min_G max_D E[log D(x)] + E[log(1 - D(G(z)))].	foundations microgan
What is the core GAN training objective?	min_G max_D V(D,G) = E_x[log D(x)] + E_z[log(1 - D(G(z)))]. The discriminator maximizes its ability to classify real vs fake; the generator minimizes the discriminator's success. Nash equilibrium: D outputs 0.5 everywhere.	foundations microgan
When should you use GANs?	Use when you need fast single-pass generation of high-resolution samples (images, audio). GANs generate quickly at inference but are notoriously unstable to train (mode collapse, training divergence). Consider diffusion models for stability.	foundations microgan
Why is GAN training unstable?	The generator and discriminator play a moving-target game. If one gets too far ahead, gradients vanish for the other. Mode collapse occurs when the generator finds a few samples that fool the discriminator and stops exploring.	foundations microgan
Why is low Adam momentum (beta1=0.5) used for GANs?	High momentum (0.9) causes the optimizer to overshoot past the equilibrium point set by the adversary. Lower momentum allows faster adaptation to the changing adversarial landscape, improving training stability.	foundations microgan
What are the four main gradient descent optimizers and their key differences?	SGD: raw gradients only. Momentum: adds exponential moving average of gradients (velocity). RMSProp: scales learning rate by inverse of gradient magnitude (adaptive). Adam: combines both momentum and adaptive rates with bias correction.	foundations microoptimizer
What is the Adam update rule?	m_t = beta1*m_{t-1} + (1-beta1)*g_t (first moment). v_t = beta2*v_{t-1} + (1-beta2)*g_t^2 (second moment). m_hat = m_t/(1-beta1^t), v_hat = v_t/(1-beta2^t) (bias correction). theta -= lr * m_hat / (sqrt(v_hat) + eps).	foundations microoptimizer
When should you use Adam vs SGD?	Adam converges faster and is less sensitive to learning rate choice -- the default starting point for most deep learning. SGD with momentum can generalize better in some cases (especially CNNs on vision tasks) but requires careful learning rate tuning.	foundations microoptimizer
What is learning rate warmup and cosine decay?	Warmup linearly ramps the learning rate from 0 to peak over the first N steps, preventing large gradient updates with poorly initialized Adam statistics. Cosine decay then gradually reduces the rate following a half-cosine curve.	foundations microoptimizer
Why does Adam need bias correction?	The moving averages m and v are initialized to zero, so early estimates are biased toward zero. Dividing by (1-beta^t) corrects this bias, which is especially important in the first few steps when t is small.	foundations microoptimizer
