question	answer	tags
How does PagedAttention reduce memory waste?	Naive allocation reserves max_seq_len * head_dim memory per request regardless of actual length. PagedAttention allocates pages on demand as the sequence grows. For 8 requests averaging 50% of max length, memory usage drops by ~50%.	systems micropaged
When should you use PagedAttention?	Use when serving multiple concurrent LLM requests with variable-length outputs (chatbots, APIs). The memory savings scale with request count and length variability. Not needed for single-request batch processing.	systems micropaged
What enables copy-on-write in PagedAttention?	Multiple requests sharing the same prompt prefix can share physical pages (their page table entries point to the same physical block). Only when a request diverges (during generation) is a new physical page allocated. This is critical for prefix caching.	systems micropaged
What is the internal fragmentation tradeoff in PagedAttention?	Smaller pages = less wasted space in the last partially-filled page, but more metadata overhead (page table entries). Larger pages = less overhead but more waste. vLLM uses block_size=16 as the default balance.	systems micropaged
What is weight quantization?	Reducing model weight precision from FP32 (32 bits) to INT8 (8 bits) or INT4 (4 bits). This shrinks model size by 4-8x with minimal quality loss. Key idea: map floating-point range to integer range via scale = max(|w|) / (2^(bits-1) - 1).	systems microquant
What is the quantization equation?	Quantize: q = round(w / scale), where scale = max(|w|) / (2^(bits-1) - 1). Dequantize: w_approx = q * scale. The error is bounded by scale/2 per weight. Blockwise quantization uses per-block scales for better accuracy.	systems microquant
When should you use INT8 vs INT4 quantization?	INT8 for negligible quality loss (~0.1% degradation). INT4 for maximum compression when combined with QLoRA or when some quality loss is acceptable. INT4 often requires blockwise quantization and careful calibration to maintain quality.	systems microquant
Why does quantization work despite losing precision?	Neural network weights are robust to small perturbations — the loss landscape is locally smooth. Quantization error acts as a tiny random perturbation that doesn't significantly change the model's output distribution, especially for well-trained models.	systems microquant
What is the difference between symmetric and asymmetric quantization?	Symmetric: maps [-max, +max] to [-127, 127] (INT8), zero maps to zero exactly. Asymmetric: maps [min, max] to [0, 255], using a zero-point offset. Symmetric is simpler and faster; asymmetric handles skewed distributions better.	systems microquant
What are the six decoding strategies for language model generation?	(1) Greedy: argmax at each step. (2) Beam search: track top-k sequences. (3) Temperature sampling: sample from softened distribution. (4) Top-k: sample from k most likely tokens. (5) Nucleus/top-p: sample from smallest set covering probability p. (6) Speculative: draft-then-verify.	systems microbeam
What is speculative decoding?	A two-model approach: a small draft model generates k candidate tokens quickly, then the large target model verifies all k in a single parallel forward pass. Accepted tokens skip the expensive target model's sequential generation, speeding inference.	systems microbeam
When should you use beam search vs sampling?	Beam search for tasks requiring deterministic, high-quality outputs (translation, summarization). Sampling (temperature, top-p) for creative tasks where diversity matters (dialogue, story writing). Speculative decoding for latency-critical serving.	systems microbeam
What is nucleus (top-p) sampling?	Sort tokens by probability, keep the smallest set whose cumulative probability exceeds p (e.g., p=0.9). This dynamically adjusts the candidate set: confident predictions sample from few tokens, uncertain predictions sample from many.	systems microbeam
Why does speculative decoding produce identical outputs to standard generation?	The verification step uses rejection sampling: each draft token is accepted with probability min(1, p_target/p_draft). Rejected tokens are resampled from an adjusted distribution. This mathematically guarantees the output distribution matches the target model exactly.	systems microbeam
What is gradient checkpointing?	A memory optimization that stores activations only at every sqrt(n) layers during the forward pass. During backward, activations between checkpoints are recomputed from the stored checkpoints. This reduces memory from O(n) to O(sqrt(n)) at ~2x compute cost.	systems microcheckpoint
What is the memory-compute tradeoff of gradient checkpointing?	Standard backprop: O(n) memory, 1 forward + 1 backward pass. Checkpointing: O(sqrt(n)) memory, ~2 forward + 1 backward pass. The extra forward pass recomputes activations between checkpoints during backward.	systems microcheckpoint
When should you use gradient checkpointing?	Use when GPU memory is the binding constraint (training large models). It lets you train ~2x deeper models on the same hardware. Not needed when memory is sufficient — it always increases compute time.	systems microcheckpoint
Why is the optimal checkpoint interval sqrt(n)?	With n layers and checkpoints every k layers: memory = k + n/k (segment activations + stored checkpoints). Minimizing k + n/k gives k = sqrt(n). Fewer checkpoints = more recomputation; more checkpoints = more stored activations.	systems microcheckpoint
What is tensor parallelism?	Splitting weight matrices across devices. For a linear layer Y = XW: partition W column-wise across devices, compute partial results in parallel, then all-reduce (sum) to get the final output. Each device holds 1/N of the parameters.	systems microparallel
What is pipeline parallelism?	Assigning different layers to different devices, forming a pipeline. Data flows through devices sequentially. Micro-batching (GPipe) reduces pipeline bubble time by feeding multiple smaller batches through the pipeline simultaneously.	systems microparallel
When should you use tensor vs pipeline parallelism?	Tensor parallelism for layers too large for one device (high bandwidth between devices required). Pipeline parallelism when bandwidth is limited (only activations at partition boundaries are communicated). Production systems combine both.	systems microparallel
What is the pipeline bubble problem?	In pipeline parallelism, the first and last stages have idle time waiting for data to propagate. With B micro-batches and P pipeline stages, bubble overhead is (P-1)/B. More micro-batches reduce the bubble but add memory for in-flight activations.	systems microparallel
What is the all-reduce communication pattern?	Each device holds a partial result; all-reduce produces the global sum on every device. For P devices with vector size V: ring all-reduce transmits 2V*(P-1)/P total bytes. This is the dominant communication cost in tensor parallelism.	systems microparallel
What is a State Space Model (SSM)?	A sequence model based on continuous state transitions: h'(t) = Ah(t) + Bx(t), y(t) = Ch(t). After discretization (Euler, ZOH), this becomes h_t = A_bar * h_{t-1} + B_bar * x_t. Processes sequences in O(n) time vs attention's O(n^2).	systems microssm
What makes Mamba's selective SSM different from standard SSMs?	Standard SSMs use fixed A, B, C matrices (input-independent). Mamba makes B, C, and the discretization step delta input-dependent, allowing the model to selectively remember or forget information based on content — like learned gating.	systems microssm
When should you use SSMs vs Transformers?	SSMs for very long sequences where O(n^2) attention is prohibitive (DNA sequences, long documents). Transformers when O(n^2) is affordable and you need the full pairwise interaction that attention provides. SSMs match transformer quality at 1M+ context.	systems microssm
What is the relationship between SSMs and RNNs?	SSMs are mathematically equivalent to linear RNNs after discretization. The key difference: SSMs can be computed in parallel during training via the convolution view (h = conv1d(x, kernel)), while RNNs must process sequentially.	systems microssm
Why is the selective mechanism important for SSMs?	Fixed-parameter SSMs treat all inputs equally — they can't ignore irrelevant tokens or emphasize important ones. Input-dependent parameters (selective mechanism) let the model decide what to store in state, bridging the gap with attention's content-based routing.	systems microssm
